dataset,category,geography,collection_years,size,unit_or_population,pfas_scope,health_outcomes,access,best_use,key_limit
NHANES serum PFAS,Human biomonitoring,United States nationally representative,1999-2000 and 2003-2023,"1456 in 1999-2000; 18236 PFAS-file rows in 2003-2018; 23181 rows in 2003-2023 when 2017-Mar 2020 replaces 2017-18",One-third subsample generally age 12+,Up to 12 legacy PFAS depending cycle,"ALT AST GGT ALP bilirubin lipids plus extensive covariates",Open direct XPT download,Primary national model development and temporal validation,"Analytic n is smaller; complex survey design; chemical definitions and LLODs vary"
Canadian Health Measures Survey,Human biomonitoring,Canada nationally representative,2007-2011 and 2016-2017,"4657 for core liver analyses; 3659 for ALT/bilirubin; 1957 for longer-chain PFAS",Adults age 20-74 in cited study,"PFOA PFOS PFHxS PFNA PFDA PFUnDA","ALT AST GGT ALP bilirubin",Controlled Research Data Centre access,External national replication,"Not immediate download; cycle-specific PFAS coverage"
POEM cohort,Human cohort,Uppsala Sweden,2010-2016,493,All participants age 50 and 50% female,"L-PFOS PFOA PFHxS PFDA",43 NMR lipid and lipoprotein measures,Reasonable request to corresponding author,Lipid mechanism and external replication,"Single age and region; no open download"
Pittsboro paired cohort / GenX Exposure Study,Exposed-community cohort,Pittsboro North Carolina,2019-2020,"49 people; 92 paired observations; 43 attended both visits",Adults living in Pittsboro,13 PFAS in water and serum,"Lipid panel and comprehensive metabolic panel including liver enzymes",Investigator request and IRB/collaboration,Closest external-design analogue,"Small nonprobability cohort; not publicly downloadable"
GenX Exposure Study broader cohort,Exposed-community cohort,Cape Fear River Basin North Carolina,2017 onward,"Over 1000 total; 1020 blood samples in 2020-2021; Wilmington 344; Fayetteville 153",Residents in Wilmington Fayetteville and Pittsboro,Legacy and emerging PFAS,"Blood chemistry thyroid and exposure questionnaires; availability varies by wave",Investigator request and IRB/collaboration,Independent exposed-community validation,"Exact usable n and common variables require data-team confirmation"
ATSDR ten-site PFAS exposure assessments,Exposed-community biomonitoring,"10 US communities near current/former military sites",2018-2021 approximately,"2384 residents from 1212 households; modeling subset 1791 adults and 197 children at 8 ATSDR-led sites",Community residents,7 commonly studied serum PFAS,Exposure history and demographics; not a full liver/lipid panel in the pooled public report,Aggregate reports open; individual data not advertised as direct public download,Exposure-distribution and transportability benchmark,"Health endpoints needed for this proposal may be unavailable"
MIREC Research Platform,Longitudinal pregnancy/family cohort,10 Canadian cities,2008 onward,Approximately 2000 original pregnancies,Pregnant participants and offspring,Perfluoroalkyl substances plus many other chemicals,"Pregnancy child and maternal cardiometabolic outcomes",Biobank application,Life-course or sex-specific secondary work,"Population and outcomes do not match general-adult primary aim"
EPA UCMR 5,Drinking-water monitoring,United States,2023-2025,"About 10130 public water systems and 25950 sampling locations",Public water systems,29 PFAS plus lithium,None,Open text and Excel download,Geospatial exposure context and site selection,"Ecological water data; no person-level serum or outcomes"
USGS national tap-water PFAS,Tap-water survey,"United States including Alaska Hawaii and Puerto Rico",2021-2022,"409 one-time samples plus 85 repeat samples",Residential and commercial taps,34 PFAS,None,Open download,Independent water-occurrence mapping,"One-time samples dominate; no linked health data"
EPA PFAS Analytic Tools,Integrated environmental database,United States,Multiple programs and years,Dynamic record count,Facilities sites samples and public water systems,Multiple PFAS across media,None,Open filtered download,Source characterization and environmental overlays,"Not one harmonized cohort; deduplication and provenance work required"
Florida DEP drinking-water data,State regulatory monitoring,Florida,Historical and current,Dynamic system/sample records,Public water systems and entry points,Regulated PFAS and broader chemical monitoring,None,Open reports/data pages,Florida-specific environmental context and linkage,"Not a serum cohort; PFAS coverage is expanding under current monitoring"
