panel,study,region,study_years,population_n,exposure,exposure_increment,outcome,effect_measure,estimate,lower_ci,upper_ci,unit_or_scale,interpretation,source_url
Enzyme change,Borghese et al. 2022,Canada,2007-2019,2512,PFAS mixture,One-quartile simultaneous mixture increase,AST,Percent change,7.5,4.0,10.4,%,Higher AST,https://pmc.ncbi.nlm.nih.gov/articles/PMC9472375/
Enzyme change,Borghese et al. 2022,Canada,2007-2019,2512,PFAS mixture,One-quartile simultaneous mixture increase,GGT,Percent change,9.7,1.7,17.0,%,Higher GGT,https://pmc.ncbi.nlm.nih.gov/articles/PMC9472375/
Enzyme change,Borghese et al. 2022,Canada,2007-2019,2512,PFAS mixture,One-quartile simultaneous mixture increase,ALP,Percent change,2.8,0.5,5.4,%,Higher ALP,https://pmc.ncbi.nlm.nih.gov/articles/PMC9472375/
Clinical odds,Jin et al. 2020,United States,NA,74,PFOS,Per IQR increase,NASH,Odds ratio,3.32,1.40,7.87,OR,Higher odds,https://pmc.ncbi.nlm.nih.gov/articles/PMC6944061/
Clinical odds,Jin et al. 2020,United States,NA,74,PFHxS,Per IQR increase,NASH,Odds ratio,4.18,1.64,10.7,OR,Higher odds,https://pmc.ncbi.nlm.nih.gov/articles/PMC6944061/
Clinical odds,Jin et al. 2020,United States,NA,74,PFHxS,Per IQR increase,Fibrosis,Odds ratio,4.44,1.34,14.8,OR,Higher odds,https://pmc.ncbi.nlm.nih.gov/articles/PMC6944061/
Clinical odds,Jin et al. 2020,United States,NA,74,PFHxS,Per IQR increase,Lobular inflammation,Odds ratio,2.87,1.12,7.31,OR,Higher odds,https://pmc.ncbi.nlm.nih.gov/articles/PMC6944061/
Other numeric,Jin et al. 2020,United States,NA,74,PFHxS,Per IQR increase,NAFLD activity score,Regression coefficient,0.46,0.03,0.89,score points,Higher activity score,https://pmc.ncbi.nlm.nih.gov/articles/PMC6944061/
Other numeric,Lin et al. 2010,United States,1999-2000 and 2003-2004,2216,PFOA,One-unit increase in log serum PFOA,ALT,Regression coefficient,1.86,1.24,2.48,U/L,Higher ALT,https://pubmed.ncbi.nlm.nih.gov/20010922/
Other numeric,Lin et al. 2010,United States,1999-2000 and 2003-2004,2216,PFOA,One-unit increase in log serum PFOA,log GGT,Regression coefficient,0.08,0.05,0.11,log scale,Higher GGT,https://pubmed.ncbi.nlm.nih.gov/20010922/
Other numeric,Cheng et al. 2023,United States,2017-2018,1150,PFOS,Study model,FIB-4,Regression coefficient,0.07,0.01,0.13,index units,Higher fibrosis index,https://pmc.ncbi.nlm.nih.gov/articles/PMC10281433/
Other numeric,Jain and Ducatman 2019,United States,2011-2014,NA,PFOA,Obese subgroup model,ALT,Regression coefficient,0.07065,,,study coefficient,Positive association; p<0.01,https://pubmed.ncbi.nlm.nih.gov/30589657/
Other numeric,Jain and Ducatman 2019,United States,2011-2014,NA,PFHxS,Obese subgroup model,ALT,Regression coefficient,0.051349,,,study coefficient,Positive association; p<0.01,https://pubmed.ncbi.nlm.nih.gov/30589657/
Other numeric,Jain and Ducatman 2019,United States,2011-2014,NA,PFNA,Obese subgroup model,ALT,Regression coefficient,0.072742,,,study coefficient,Positive association; p<0.01,https://pubmed.ncbi.nlm.nih.gov/30589657/
Other numeric,Jain and Ducatman 2019,United States,2011-2014,NA,PFOA,Obese subgroup model,GGT,Regression coefficient,0.07422,,,study coefficient,Positive association; p=0.03,https://pubmed.ncbi.nlm.nih.gov/30589657/
Other numeric,Jain and Ducatman 2019,United States,2011-2014,NA,PFNA,Obese subgroup model,GGT,Regression coefficient,0.077995,,,study coefficient,Positive association; p<0.01,https://pubmed.ncbi.nlm.nih.gov/30589657/
Meta-analysis,Costello et al. 2022,Multiple,Through 2021,24 epidemiologic studies,PFOA,Weighted evidence synthesis,ALT,Weighted z-score,6.20,,,z-score,Positive evidence signal,https://pmc.ncbi.nlm.nih.gov/articles/PMC9044977/
Meta-analysis,Costello et al. 2022,Multiple,Through 2021,24 epidemiologic studies,PFOS,Weighted evidence synthesis,ALT,Weighted z-score,3.55,,,z-score,Positive evidence signal,https://pmc.ncbi.nlm.nih.gov/articles/PMC9044977/
Meta-analysis,Costello et al. 2022,Multiple,Through 2021,24 epidemiologic studies,PFNA,Weighted evidence synthesis,ALT,Weighted z-score,2.27,,,z-score,Positive evidence signal,https://pmc.ncbi.nlm.nih.gov/articles/PMC9044977/
Mixture weight,Yan et al. 2024,United States,2009-2018,7484,PFNA,WQS positive-direction mixture,ALT,WQS weight,0.757,,,proportion of mixture weight,Largest contributor; not an effect size,https://pmc.ncbi.nlm.nih.gov/articles/PMC11629162/
Mixture weight,Yan et al. 2024,United States,2009-2018,7484,PFNA,WQS positive-direction mixture,AST,WQS weight,0.657,,,proportion of mixture weight,Largest contributor; not an effect size,https://pmc.ncbi.nlm.nih.gov/articles/PMC11629162/
Mixture weight,Yan et al. 2024,United States,2009-2018,7484,PFNA,WQS positive-direction mixture,GGT,WQS weight,0.461,,,proportion of mixture weight,Largest contributor; not an effect size,https://pmc.ncbi.nlm.nih.gov/articles/PMC11629162/
Mixture weight,Yan et al. 2024,United States,2009-2018,7484,PFNA,WQS positive-direction mixture,Total bilirubin,WQS weight,0.648,,,proportion of mixture weight,Largest contributor; not an effect size,https://pmc.ncbi.nlm.nih.gov/articles/PMC11629162/
