id,dataset,country,area,years,size,metals,access,status,primary_link
nhanes_metals,NHANES metals biomonitoring,United States,National,1999-present,"varies by cycle",lead; cadmium; mercury; arsenic; others,open,confirmed,https://wwwn.cdc.gov/Nchs/Nhanes/Search/DataPage.aspx?Component=Laboratory
knhanes_metals,KNHANES metals biomonitoring,South Korea,National,2005-present,"varies by cycle",lead; cadmium; mercury,request,confirmed,https://knhanes.kdca.go.kr/knhanes/eng/index.do
konehs,KoNEHS,South Korea,National,2009-present,"varies by cycle",lead; cadmium; mercury; arsenic; others,request,confirmed,https://www.ehtis.or.kr/cmn/sym/mnu/mpm/62002000/htmlMenuView.do
geres_metals,German Environmental Survey (GerES),Germany,National,"1985-present; waves","varies by wave",lead; cadmium; mercury; arsenic; others,request,confirmed,https://www.rki.de/EN/News/Publications/Research-data/Scientific-Use-Files/Application/application_form_en.html
chms_metals,Canadian Health Measures Survey,Canada,National,2007-present,"varies by cycle",lead; cadmium; mercury; arsenic; others,request,confirmed,https://www.statcan.gc.ca/en/survey/household/5071
cnhbm,China National Human Biomonitoring,China,National,2017-2018,"21,746",multiple metals,request,confirmed,https://pmc.ncbi.nlm.nih.gov/articles/PMC7828642/
strong_heart_metals,Strong Heart Study / Family Study,United States,"American Indian communities in AZ; OK; ND; SD",1989-present,"4,549 original cohort; family study additional",arsenic; cadmium; lead; others,request,confirmed,https://strongheartstudy.org/
mesa_metals,Multi-Ethnic Study of Atherosclerosis,United States,6 field centers,2000-present,"6,814 baseline",arsenic; cadmium; tungsten; others,request,confirmed,https://biolincc.nhlbi.nih.gov/studies/mesa/
element_metals,Early Life Exposures in Mexico to Environmental Toxicants (ELEMENT),Mexico,Mexico City,1994-present,"multiple cohorts; over 1,000 mother-child pairs",lead; cadmium; arsenic; manganese; others,request,confirmed,https://sph.umich.edu/cehc/element.html
korea_occupational,South Korea occupational heavy-metal surveillance,South Korea,National occupational surveillance,2000s-2010s,"34,814",lead; cadmium; mercury; chromium; nickel; others,open,confirmed,https://datadryad.org/dataset/doi:10.5061/dryad.tht76hdz4
zhejiang_hearing,Zhejiang metals and hearing study,China,Zhejiang Province,2016,"2,016",lead; cadmium; arsenic; mercury; manganese; others,open,confirmed,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0233165
jiangshan_cd,Jiangshan cadmium exposure study,China,Jiangshan Zhejiang,2014,"934",cadmium,open,confirmed,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0161240
mae_sot_cd,Mae Sot cadmium follow-up,Thailand,Mae Sot District,"2007-2020","393 follow-up",cadmium,open,confirmed,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0334521
tanzania_child,Tanzania mining-area mother-child follow-up,Tanzania,Mining communities,"2015-2021","310 mother-child pairs",lead; cadmium; mercury; arsenic; others,open,confirmed,https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0004577
ghana_miners,Ghana artisanal and small-scale gold miners,Ghana,Artisanal mining communities,2011,"137",mercury; lead; cadmium; arsenic; manganese,open,confirmed,https://datadryad.org/dataset/doi:10.5061/dryad.3648q4p
mhas_metals,Mexican Health and Aging Study hair metals,Mexico,National,2018,"2,671",multiple hair metals,request,confirmed,https://www.mhasweb.org/DataProducts/Home.aspx
ensanut_lead,ENSANUT blood lead study,Mexico,National,2018,"3,395",lead,open,confirmed,https://ensanut.insp.mx/encuestas/ensanut2018/descargas.php
bd_arsenic_lung,Bangladesh arsenic sweat chloride and lung study,Bangladesh,Pabna,2016-2017,"269",arsenic,open,confirmed,https://plos.figshare.com/articles/dataset/Characteristics_of_study_population_/28950606
tanzania_geophagy,Tanzania pregnancy geophagy and mining exposure,Tanzania,Geita Region,2022-2023,"1,056 pregnant women",lead; arsenic; cadmium; mercury; others,open,confirmed,https://journals.plos.org/globalpublichealth/article?id=10.1371/journal.pgph.0002958
indium_workers,Indium-worker 28-element biomonitoring,Japan,Occupational facilities,2010s,"120",indium plus 27 elements,open,confirmed,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0246943
kampala_children,Kampala child metal exposure study,Uganda,Kampala,2016,"97 children",lead; manganese; arsenic; cadmium; mercury; others,open,confirmed,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0233108
banda_aceh_lead,Banda Aceh child lead study,Indonesia,Banda Aceh,2023,"130 children",lead,open,confirmed,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0332301
schizophrenia_elements,Serum trace elements and schizophrenia case-control study,China,Study-site sample,2010s,"228",10 trace elements,open,confirmed,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0133622
enshi_zhuxi,Enshi and Zhuxi black-shale exposure study,China,Hubei black-shale regions,not stated,"about 321",multiple metals,verify,source-document-only,https://docs.google.com/document/d/1C5oXK0jSQWIY4VzS8fNbqM8eRedq-tcrLUEQ0vi2lm4/edit?tab=t.0
patna_lead,Patna child lead study,India,Patna,not stated,"135 children",lead,verify,source-document-only,https://docs.google.com/document/d/1C5oXK0jSQWIY4VzS8fNbqM8eRedq-tcrLUEQ0vi2lm4/edit?tab=t.0
iran_multimetal,Iran urinary multi-metal study,Iran,Study-site sample,not stated,"134",multiple urinary metals,verify,source-document-only,https://docs.google.com/document/d/1C5oXK0jSQWIY4VzS8fNbqM8eRedq-tcrLUEQ0vi2lm4/edit?tab=t.0
bd_arsenic_pah,Bangladesh arsenic and PAH immune study,Bangladesh,Study-site sample,not stated,"197 enrolled; 181 main analysis",arsenic,verify,source-document-only,https://docs.google.com/document/d/1C5oXK0jSQWIY4VzS8fNbqM8eRedq-tcrLUEQ0vi2lm4/edit?tab=t.0
bd_arsenic_cells,Bangladesh arsenic immune-cell study,Bangladesh,Study-site sample,not stated,"200",arsenic,verify,source-document-only,https://docs.google.com/document/d/1C5oXK0jSQWIY4VzS8fNbqM8eRedq-tcrLUEQ0vi2lm4/edit?tab=t.0
bd_arsenic_vitd,Bangladesh arsenic vitamin-D and T-cell study,Bangladesh,Study-site sample,not stated,"614 enrolled; about 607 analyzed",arsenic,verify,source-document-only,https://docs.google.com/document/d/1C5oXK0jSQWIY4VzS8fNbqM8eRedq-tcrLUEQ0vi2lm4/edit?tab=t.0
